TC in,Duur,Bestandsnaam,Omschrijving,Link,Bron,kosten,rechten / contact,to do,Bron in beeld,Aftiteling,,
,,WI_Whitehouse_AP_4544877_US_DC_VA_Snow_Scenes.mxf,Witte huis sneeuw,https://newsroom.ap.org/detail/WashingtonDCareaweathersawinterwallopaheadofPresidentCartersfuneral/dec2f96bbaba44c1bdfba7f14a9be0cd/video?vs=false&currentItemNo=11&startingItemNo=0,AP,,,,,,,
,,,,,,,,,,,,
,,,Ijsland,,,,,,,,,
,,WI_IJsland_Geysers_Pexels_12891408_3840_2160_30fps.mp4,geysers,https://www.pexels.com/nl-nl/video/prachtig-luchtfoto-van-het-geothermische-gebied-van-ijsland-30054584/,,,,,,,,
,,WI_IJsland_Geysers_Pexels_12063834-hd_1920_1080_30fps,geysers,https://www.pexels.com/nl-nl/video/ijsland-natuur-stoom-koken-12063834/,,,,,,,,
,,,geysers,https://www.pexels.com/nl-nl/video/hverir-het-geothermische-landschap-van-ijsland-28847698/,,,,,,,,
,,WI_IJsland_Geysers_Pexels_12494218_3840_2160_25fps,geysers,https://www.pexels.com/nl-nl/video/luchtfoto-van-het-geothermische-gebied-hverir-in-ijsland-28847696/,,,,,,,,
,,,geysers,https://www.pexels.com/nl-nl/video/luchtfoto-van-het-geothermische-gebied-hverir-ijsland-28847705/,,,,,,,,
,,WI_IJsland_Geysers_Pexels_12666712_3840_2160_60fps.mp4,geysers,https://www.pexels.com/nl-nl/video/luchtfoto-van-de-ijslandse-wintergeisers-29415896/,,,,,,,,
,,,geysers close,https://www.pexels.com/nl-nl/video/water-plons-855333/,,,,,,,,
,,WI_IJsland_Geysers_drone_CC_Iceland  Strokkur Geysir Golden Circle fields of geysers from drone.mp4,geysers drone,https://www.youtube.com/watch?v=V6Y6Vc-5Leo,cc,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,EU / Brussel / ministeries,,,,,,,,,
,,WI_EU_Brussel_Groenland_AP_sth106186_Belgium_Arctic_security_remains_key_priority_for_E_HD_50_XDCAM_50,"besteld, EU beeld en groenland",https://newsroom.ap.org/detail/BelgiumArcticsecurityremainskeypriorityforEUEuropeanCommissionPresident/12e1a50931ba450d9651f924ce4ef8e8/video?vs=false&currentItemNo=48&startingItemNo=0,AP,,,,,,,
,,WI_Brussel-EU_Nacht_EP164993-V___0_09l5ptny.mp4,brussel by night,https://multimedia.europarl.europa.eu/en/video/european-parliament-stockshots-9th-parliamentary-term-drone-views-buildings-in-brussels-by-night_EP164993,EU,,,,,,,
,,,nachtshots overleg tweede kamer,https://daan.beeldengeluid.nl/program/urn:vme:default:program:2101608130114229831,nos,,,,,,,
,,,01.25 - 02.00 shot auto overheidsgebouw,https://avdt.vpro.nl/browse?search=%7B%22all%22%3A%22wopke%22%7D&episode=recPYxfEWwY3xtOHr,vpro,,,,,,,
,,WI_Brussel-press_EU-PARL_Infoclip Journalists and media professionals - Multimedia Centre.mp4,brussel journalisten,https://multimedia.europarl.europa.eu/en/video/infoclip-journalists-and-media-professionals_I259309,,,,,,,,
,,WI_Brussel_Press_EUR-PARL_Infoclip Journalism and media distribution - Multimedia Centre.mp4,brussel journalisten,https://multimedia.europarl.europa.eu/en/video/infoclip-journalism-and-media-distribution_I230373,,,,,,,,
,,WI_Brussel_Press_EUR-PARL_journalist.mp4,brussel journalisten,https://multimedia.europarl.europa.eu/en/video/state-of-the-european-union-2025-atmosphere-shots_I276613,,,,,,,,
,,WI_Brussel_Press_EUR-PARL_journalist-avond.mp4,brussel journalisten avond,https://multimedia.europarl.europa.eu/en/video/ep-confirmation-hearings-4-711-and-1211-day-and-night-views-editing-shots-exterior-and-interior-shots-of-the-ep_I263413,,,,,,,,
,,,straatsburg nacht,https://multimedia.europarl.europa.eu/en/video/european-parliament-stockshots-8th-parliamentary-term-ep-buildings-by-night-in-strasbourg_I136379,,,,,,,,
,,,brussel macron nacht,https://www.youtube.com/watch?v=tf5X7p9NkmI,,,,,,,,
,,,torentje nacht,https://daan.beeldengeluid.nl/program/urn:vme:default:program:2102301290347060831?ac=dgtl&q=crisis+binnenhof,,,,,,,,
,,WI_NOS_crisisberaad_nacht_Het kabinet aan een zijden draadje zo verliep de dag op het Catshuis.mp4,crisisberaad catshuis,https://www.youtube.com/watch?v=JPh29P5sME4,,,,,,,,
,,,mwa.,https://daan.beeldengeluid.nl/program/urn:vme:default:program:2102303310348938731?ac=dgtl&q=crisis,,,,,,,,
,,,shot torentje nacht licht,https://daan.beeldengeluid.nl/program/urn:vme:default:program:2102303310348942331?ac=dgtl&q=wnl,,,,,,,,
,,,"Rutte quotes ' not the agreement, negotiate et",,,,,,,,,
,,,"What I do not want to do today is to go into more details, because obviously, Allies will have discussions amongst each other. ",https://www.nato.int/en/news-and-events/events/transcripts/2025/06/05/press-conference?selectedLocale=,,,,,,,,
,,,nato .. Is to end the war obviously,https://www.facebook.com/watch/?v=1177422563916876,,,,,,,,
,,,08.00 getting your men and women in uniform,https://www.youtube.com/watch?v=-U1fBcVPiOE,bloomberg - citaat? ,,,,,,,
,,WI_NATO_Rutte_quote_20251211_trip-sg-ge_speech-opening_it.mxf,09.30 tijdcode: we are already in harms way. I warned what was happening in ukraine could happen to allied countries too. ,https://www.youtube.com/shorts/VTik7EIaN1w,NATO,volledige speech; https://www.nato.int/en/news-and-events/events/transcripts/2025/12/11/keynote-speech-by-nato-secretary-general-mark-rutte-and-moderated-discussion-with-the-minister-for-foreign-affairs-of-germany-johann-wadephul#modalRegister,,,,,,
,,,,,,,,,,,,
,,,3x need greenland. trump.,,,,,,,,,
,,Trump says the US 'has to have' Greenland   REUTERS,23 dec 2025 we need greenland,https://www.youtube.com/watch?v=XHhpTJGh8o8,,,,,,,,
,,,10 jan 2026 we need greenland,https://www.youtube.com/watch?v=fbp8x8l56QY,,,,,,,,
,,We need Greenland' Trump says in his speech to Congress,5 mrt 2025 we neeed greenland,https://www.youtube.com/watch?v=6tfYAd82gHI,,,,,,,,
,,WI_Trump_Greenland_AP_4629616_Air_US_Trump_Greenland_1080i50ESSENCE,in vliegtuig,https://newsroom.ap.org/detail/TrumpsaysUSwillhaveGreenlandonewayortheother/f55a9108bdba4314a51620f82f4933b0/video?vs=false&currentItemNo=4&startingItemNo=0,AP,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Beurshandelaren in paniek,,,,,,,,,
,,WI_Beurs_AP_cctv038687_Various_Stock_Market_Plunges.mxf,"leuke uitdrukkingen gezichten, beurs",https://newsroom.ap.org/detail/WallStreetplungesagainoncoronavirusfears/08e3050770ce4d7899c18b14b667556e/video?vs=false&currentItemNo=31&startingItemNo=0,AP,,,,,,,
,,NYSE,NYSE item. ,,,,,,,,,
,,WI_Beurs_AP_efe009363_US_MARKETS_1080i50-xdcam-50m.mxf,paar handelaren achterhoofden,https://newsroom.ap.org/detail/Various-StockMarketPlunges/902feb2734ce77a699d95847c9d8a583/video?vs=false&currentItemNo=2&startingItemNo=0,AP,,,,,,,
,,,borden oa,https://www.youtube.com/watch?v=zpzj983jG3A,nyse,,,,,,,
,,,nieuws tabel rode cijfers en grafiek,https://www.youtube.com/watch?v=2yStK-PhJ50,cnbc,,,,,,,
,,,Beurs euronext,https://multimedia.europarl.europa.eu/en/video/infoclip-european-stock-markets-and-traders_I271165,,,,,,,,
,,,,,,,,,,,,
,,,Billy Long - 52 state,,,,,,,,,
,,,,https://www.tiktok.com/@major.breaking/video/7595380633875221791?q=billy%20long%20iceland&t=1770199489178,,,,,,,,
,,,nieuwsitem,https://www.youtube.com/watch?v=4BlmiBJxXC4,,,,,,,,
,,,"billy long archiefbeeld, trump pet",https://www.youtube.com/watch?v=dTSJWeSaws8,,,,,,,,
,,,"billy long archief, hearing met rare stropdas",https://www.youtube.com/watch?v=OWnrpXODieI,,,,,,,,
,,,foto billy long met trump,https://www.anpfoto.nl/search.pp?pictureid=378276360&page=1&pos=6,anp,,,,,,,
,,,foto billy long met trump 2,https://www.anpfoto.nl/search.pp?pictureid=369812995&page=1&pos=12,,,,,,,,
,,,,https://www.youtube.com/shorts/K8TY5rSgM8g,,,,,,,,
,,,,https://www.youtube.com/shorts/wNL5O3I6gKs,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Datacenters,,,,,,,,,
,,WI_Datacenter_Google Data Center Security 6 Layers Deep,WI_Datacenter_Google Data Center Security 6 Layers Deep.mp4,https://www.youtube.com/watch?v=kd33UVZhnAA,google,,,,,,,
