ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
"31","UNNAMED","TL_REINIER_BELASTING_BTW_SUPERMARKT_POND5_035207781-TROLLEY-SUPERMARKET-TIMELAPSE.MP4","TL_REINIER_BELASTING_BTW_SUPERMARKT_POND5_035207781-TROLLEY-SUPERMARKET-TIMELAPSE.MP4","V1","00:00:58:02","00:00:58:21","00:00:00:19","00:00:17:01","00:00:17:20","",""
"32","UNNAMED","TL_REINIER_BELASTING_BTW_SUPERMARKT_POND5_099569141-HAPPY-FEMALE-SHOPAHOLIC-HAVING.MP4","TL_REINIER_BELASTING_BTW_SUPERMARKT_POND5_099569141-HAPPY-FEMALE-SHOPAHOLIC-HAVING.MP4","V1","00:00:58:21","00:00:59:24","00:00:01:03","00:00:04:08","00:00:05:11","",""
"33","UNNAMED","TL_REINIER_BELASTING_BTW-MEUBELS_13-04-1998JOUJOURNAAL__-HRE0004909D_4619360_4688960.MXF","TL_REINIER_BELASTING_BTW-MEUBELS_13-04-1998JOUJOURNAAL__-HRE0004909D_4619360_4688960.MXF","V1","00:00:59:24","00:01:01:19","00:00:01:20","01:17:45:18","01:17:47:13","","AVX2 EFFECT, 3DWARP"
"34","UNNAMED","DEFQON.1 DE MAGIE VAN DE EINDSHOW.MP4","DEFQON.1 DE MAGIE VAN DE EINDSHOW.MP4","V1","00:01:01:19","00:01:02:15","00:00:00:21","00:00:35:08","00:00:36:04","",""
"35","UNNAMED","DEFQON.1 DE MAGIE VAN DE EINDSHOW.MP4","DEFQON.1 DE MAGIE VAN DE EINDSHOW.MP4","V1","00:01:02:15","00:01:03:11","00:00:00:21","00:01:03:01","00:01:03:22","",""
"36","UNNAMED","TL_REINIER_BELASTING_ACCIJNS_AUTO_POND5_090406120-CAR-SCREECHING-TIRES-SPINNING-.MP4","TL_REINIER_BELASTING_ACCIJNS_AUTO_POND5_090406120-CAR-SCREECHING-TIRES-SPINNING-.MP4","V1","00:01:03:11","00:01:04:21","00:00:01:10","00:00:08:13","00:00:10:20","",""
"37","UNNAMED","TL_REINIER_BELASTING_ACCIJNS-CHAMPAGNE_POND5_032219604-MAN-OPENS-BOTTLE-SPARKLING-WIN.MP4","TL_REINIER_BELASTING_ACCIJNS-CHAMPAGNE_POND5_032219604-MAN-OPENS-BOTTLE-SPARKLING-WIN.MP4","V1","00:01:04:21","00:01:06:24","00:00:02:03","00:00:02:11","00:00:04:14","",""
"38","UNNAMED","060428005-CITY-WORKERS-THROW-WASTE-BAGS-.MP4","060428005-CITY-WORKERS-THROW-WASTE-BAGS-.MP4","V1","00:01:06:24","00:01:08:07","00:00:01:08","00:00:03:00","00:00:04:08","",""
"39","UNNAMED","TL_REINIER_POND5_ERFENIS_077846833-1980S-PALLBEARERS-LOAD-CASKET-.MP4","TL_REINIER_POND5_ERFENIS_077846833-1980S-PALLBEARERS-LOAD-CASKET-.MP4","V1","00:01:08:07","00:01:09:13","00:00:01:06","00:00:07:04","00:00:08:10","",""
"40","UNNAMED","TL_REINIER_RIJTJESHUIZEN_NOS_24-09-2007NOS_JOURNAAL_-WON00261456_72708000_72737200.MXF","TL_REINIER_RIJTJESHUIZEN_NOS_24-09-2007NOS_JOURNAAL_-WON00261456_72708000_72737200.MXF","V1","00:01:09:13","00:01:10:05","00:00:00:17","20:12:01:04","20:12:01:21","","AVX2 EFFECT, 3DWARP"
"41","UNNAMED","TL_REINIER_BELASTING_AUTO_26-08-2022_20-GNC3000OT4T_0_85440.MXF","TL_REINIER_BELASTING_AUTO_26-08-2022_20-GNC3000OT4T_0_85440.MXF","V1","00:01:10:05","00:01:10:22","00:00:00:17","00:00:15:01","00:00:15:18","",""
"42","UNNAMED","TL_REINIER_BELASTING_VLIEGTUIG_POND5_147869312-HAPPY-ASIAN-FAMILY-RUNNING-PLA.MP4","TL_REINIER_BELASTING_VLIEGTUIG_POND5_147869312-HAPPY-ASIAN-FAMILY-RUNNING-PLA.MP4","V1","00:01:10:22","00:01:11:24","00:00:01:02","00:00:01:01","00:00:02:03","",""
"43","UNNAMED","TL_REINIER_BELASTING_BEURS_29-09-2008NOVA_________-GNC000005RI_0_282760.MXF","TL_REINIER_BELASTING_BEURS_29-09-2008NOVA_________-GNC000005RI_0_282760.MXF","V1","00:01:11:24","00:01:12:15","00:00:00:16","00:00:00:18","00:00:01:09","",""
"44","UNNAMED","TL_REINIER_BELASTING_BEURS_29-09-2008NOVA_________-GNC000005RI_0_282760.MXF","TL_REINIER_BELASTING_BEURS_29-09-2008NOVA_________-GNC000005RI_0_282760.MXF","V1","00:01:12:15","00:01:13:08","00:00:00:18","00:00:16:11","00:00:16:12","",""
"45","UNNAMED","095249622-VIEW-INSIDE-TOILET-WATER-FLUSH.MP4","095249622-VIEW-INSIDE-TOILET-WATER-FLUSH.MP4","V1","00:01:13:08","00:01:16:00","00:00:02:17","00:00:04:01","00:00:06:18","",""
"46","UNNAMED","C6914.MP4.SYNC.01","","V1","00:01:16:00","00:01:21:05","00:00:05:05","08:07:53:13","08:07:58:18","","IMAGE, FRAMEFLEX"
"47","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:01:21:05","00:01:25:05","00:00:04:00","16:34:07:11","16:34:11:11","","IMAGE, FRAMEFLEX"
