ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
486,AX,B001C001_260204WD.MXF,B001C001_260204WD.MXF,V1,00:24:24:11,00:24:27:18,00:00:03:07,11:24:19:05,11:24:22:12,,
487,AX,A003C002_2602044B.MXF,A003C002_2602044B.MXF,V1,00:24:27:18,00:24:31:00,00:00:03:07,11:24:35:07,11:24:38:14,,
488,AX,B001C001_260204WD.MXF,B001C001_260204WD.MXF,V1,00:24:31:00,00:24:33:21,00:00:02:21,11:24:40:24,11:24:43:20,,
489,AX,A003C002_2602044B.MXF,A003C002_2602044B.MXF,V1,00:24:33:21,00:24:37:00,00:00:03:04,11:24:53:12,11:24:56:16,,
490,AX,B001C001_260204WD.MXF,B001C001_260204WD.MXF,V1,00:24:37:00,00:24:40:09,00:00:03:09,11:25:25:16,11:25:29:00,,
491,AX,Nulmeridiaan,,V1,00:24:40:09,00:24:50:11,00:00:10:02,00:00:00:00,00:00:10:02,,
492,AX,B001C001_260204WD.MXF,B001C001_260204WD.MXF,V1,00:24:50:11,00:24:56:17,00:00:06:06,11:23:42:03,11:23:48:09,,
493,AX,IJSLAND1735.MXF,IJSLAND1735.MXF,V1,00:24:56:17,00:24:58:07,00:00:01:15,12:38:00:19,12:38:02:09,,
494,AX,IJSLAND1739.MXF,IJSLAND1739.MXF,V1,00:24:58:07,00:24:59:23,00:00:01:16,12:40:03:17,12:40:05:08,,
495,AX,IJSLAND1741.MXF,IJSLAND1741.MXF,V1,00:24:59:23,00:25:04:23,00:00:05:00,15:01:05:09,15:01:10:09,,
496,AX,IJSLAND1719.MXF,IJSLAND1719.MXF,V1,00:25:04:23,00:25:06:02,00:00:01:04,12:05:55:10,12:05:56:14,,
497,AX,IJSLAND1712.MXF,IJSLAND1712.MXF,V1,00:25:06:02,00:25:08:07,00:00:02:05,11:57:57:08,11:57:59:13,,
498,AX,IJSLAND1733.MXF,IJSLAND1733.MXF,V1,00:25:08:07,00:25:09:18,00:00:01:11,12:37:08:09,12:37:09:20,,
499,AX,IJSLAND1733.MXF,IJSLAND1733.MXF,V1,00:25:09:18,00:25:12:06,00:00:02:13,12:37:09:20,12:37:12:08,,
500,AX,A001_02040830_C027.mov,A001_02040830_C027.mov,V1,00:25:12:06,00:25:14:14,00:00:02:08,08:30:43:22,08:30:46:05,,
501,AX,A001_02110821_C048.mov,A001_02110821_C048.mov,V1,00:25:14:14,00:25:16:11,00:00:01:22,08:21:03:17,08:21:05:14,,
502,AX,A001_02111344_C055.mov,A001_02111344_C055.mov,V1,00:25:16:11,00:25:24:19,00:00:08:08,13:44:47:46,13:44:56:05,,
503,AX,WhatIf_Graphic_DeletedPosts_video_def.mov,WhatIf_Graphic_DeletedPosts_video_def.mov,V1,00:25:24:19,00:25:34:21,00:00:10:02,00:00:00:00,00:00:10:02,,
504,AX,A001_02120823_C069.mov,A001_02120823_C069.mov,V1,00:25:34:21,00:25:36:20,00:00:01:24,08:23:20:12,08:23:22:11,,
505,AX,A001_02020855_C008.mov,A001_02020855_C008.mov,V1,00:25:36:20,00:25:38:10,00:00:01:15,08:56:37:22,08:56:39:12,,
506,AX,"WI_Propaganda_CITAAT of AUDIO_50K users say Meta wrongly shut down Facebook, Instagram accounts over ‘heinous’ accusations.mp4",FALSE,V1,00:25:38:10,00:25:41:10,00:00:03:00,00:01:41:17,00:01:44:17,,
507,AX,WI_Propaganda_server_NOS_JOURNAAL_-WON02260176_84389240_84497960.mxf,WI_Propaganda_server_NOS_JOURNAAL_-WON02260176_84389240_84497960.mxf,V1,00:25:41:10,00:25:43:22,00:00:02:12,23:27:11:07,23:27:13:19,,
508,AX,WI_Datacenter_OracleMediaKit_ABI_DataHall1.mp4,WI_Datacenter_OracleMediaKit_ABI_DataHall1.mp4,V1,00:25:43:22,00:25:52:04,00:00:08:07,00:03:20:51,00:03:29:07,,
509,AX,WhatIf_Graphic_Interface15_video_def.mov,WhatIf_Graphic_Interface15_video_def.mov,V1,00:25:52:04,00:26:02:16,00:00:10:12,00:00:00:00,00:00:10:12,,
510,AX,B002C001_260204A9.MXF,B002C001_260204A9.MXF,V1,00:26:02:16,00:26:05:00,00:00:02:09,11:42:17:10,11:42:19:19,,
511,AX,B002C001_260204A9.MXF,B002C001_260204A9.MXF,V1,00:26:05:00,00:26:08:05,00:00:03:05,11:42:28:12,11:42:31:17,,
512,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:26:08:05,00:26:15:21,00:00:07:16,11:42:31:17,11:42:39:08,,
513,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:26:15:21,00:26:20:21,00:00:05:00,11:42:45:13,11:42:50:13,,
514,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:26:20:21,00:26:24:12,00:00:03:16,11:42:55:19,11:42:59:10,,
515,AX,B002C001_260204A9.MXF,B002C001_260204A9.MXF,V1,00:26:24:12,00:26:25:18,00:00:01:06,11:43:00:02,11:43:01:08,,
516,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:26:25:18,00:26:28:07,00:00:02:14,11:43:01:17,11:43:04:06,,
517,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:26:28:07,00:26:31:14,00:00:03:07,11:43:13:17,11:43:16:24,,
518,AX,A004C006_260204OX.MXF,A004C006_260204OX.MXF,V1,00:26:31:14,00:26:32:07,00:00:00:18,15:46:26:18,15:46:27:11,,
519,AX,A004C005_260204RI.MXF,A004C005_260204RI.MXF,V1,00:26:32:07,00:26:32:22,00:00:00:15,15:44:39:15,15:44:40:05,,
520,AX,A004C007_260204Y0.MXF,A004C007_260204Y0.MXF,V1,00:26:32:22,00:26:34:23,00:00:02:01,15:53:50:21,15:53:52:22,,
521,AX,A004C006_260204OX.MXF,A004C006_260204OX.MXF,V1,00:26:34:23,00:26:36:13,00:00:01:15,15:46:15:24,15:46:17:14,,
522,AX,A004C003_260204VH.MXF,A004C003_260204VH.MXF,V1,00:26:36:13,00:26:46:02,00:00:09:14,15:34:23:21,15:34:33:10,,
523,AX,A004C004_260204BH.MXF,A004C004_260204BH.MXF,V1,00:26:46:02,00:26:48:21,00:00:02:19,15:40:40:13,15:40:43:07,,
524,AX,ANP-402382352.jpg,ANP-402382352.jpg,V1,00:26:48:21,00:26:49:03,00:00:00:07,00:00:00:11,00:00:00:20,,
525,AX,ANP-402382349.jpg,ANP-402382349.jpg,V1,00:26:49:03,00:26:49:11,00:00:00:08,00:59:59:28,01:00:00:08,,
526,AX,ANP-402382346.jpg,ANP-402382346.jpg,V1,00:26:49:11,00:26:49:24,00:00:00:13,00:59:59:28,01:00:00:14,,
527,AX,ANP-402382346.jpg,ANP-402382346.jpg,V1,00:26:49:24,00:26:50:05,00:00:00:06,01:00:00:09,01:00:00:16,,
528,AX,ANP-403432058.jpg,ANP-403432058.jpg,V1,00:26:50:05,00:26:50:13,00:00:00:08,00:00:00:14,00:00:00:23,,
529,AX,ANP-403432058.jpg,ANP-403432058.jpg,V1,00:26:50:13,00:26:50:20,00:00:00:07,00:00:00:23,00:00:01:02,,
530,AX,ANP-403432185.jpg,ANP-403432185.jpg,V1,00:26:50:20,00:26:51:02,00:00:00:07,00:59:59:28,01:00:00:07,,
531,AX,ANP-403432185.jpg,ANP-403432185.jpg,V1,00:26:51:02,00:26:51:16,00:00:00:14,01:00:00:07,01:00:00:24,,
532,AX,ANP-403432058.jpg,ANP-403432058.jpg,V1,00:26:51:16,00:26:52:06,00:00:00:15,00:00:01:27,00:00:02:15,,
533,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:26:52:06,00:26:54:19,00:00:02:13,11:43:21:17,11:43:24:05,,
534,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:26:54:19,00:27:04:11,00:00:09:17,11:43:41:10,11:43:51:02,,
535,AX,B002C001_260204A9.MXF,B002C001_260204A9.MXF,V1,00:27:04:11,00:27:09:13,00:00:05:02,11:43:52:07,11:43:57:09,,
536,AX,B002C001_260204A9.MXF,B002C001_260204A9.MXF,V1,00:27:09:13,00:27:11:14,00:00:02:01,11:43:57:09,11:43:59:10,,
537,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:27:11:14,00:27:13:22,00:00:02:08,11:43:59:10,11:44:01:18,,
538,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:27:13:22,00:27:18:20,00:00:04:23,11:44:31:01,11:44:35:24,,
539,AX,B002C001_260204A9.MXF,B002C001_260204A9.MXF,V1,00:27:18:20,00:27:21:14,00:00:02:19,11:44:35:24,11:44:38:18,,
540,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:27:21:14,00:27:24:22,00:00:03:08,11:44:38:18,11:44:42:01,,
541,AX,A003C003_260204BE.MXF,A003C003_260204BE.MXF,V1,00:27:24:22,00:27:25:18,00:00:00:21,11:47:05:22,11:47:06:18,,
542,AX,IJSLAND1592.MXF,IJSLAND1592.MXF,V1,00:27:25:18,00:27:27:17,00:00:01:24,17:56:10:16,17:56:12:15,,
543,AX,IJSLAND1589.MXF,IJSLAND1589.MXF,V1,00:27:27:17,00:27:30:20,00:00:03:03,17:53:21:18,17:53:24:21,,
544,AX,IJSLAND1590.MXF,IJSLAND1590.MXF,V1,00:27:30:20,00:27:33:04,00:00:02:09,17:55:03:09,17:55:05:18,,
545,AX,B002C0060_700101_000L69.MOV,B002C0060_700101_000L69.MOV,V1,00:27:33:04,00:27:36:05,00:00:03:01,02:38:10:24,02:38:17:00,,
546,AX,B002C0061_700101_000L69.MOV,B002C0061_700101_000L69.MOV,V1,00:27:36:05,00:27:40:05,00:00:04:00,02:40:45:01,02:40:53:01,,
547,AX,B002C0060_700101_000L69.MOV,B002C0060_700101_000L69.MOV,V1,00:27:40:05,00:27:42:08,00:00:02:03,02:38:23:08,02:38:27:14,,
548,AX,B002C0061_700101_000L69.MOV,B002C0061_700101_000L69.MOV,V1,00:27:42:08,00:27:44:05,00:00:01:22,02:41:01:03,02:41:04:22,,
549,AX,B002C0060_700101_000L69.MOV,B002C0060_700101_000L69.MOV,V1,00:27:44:05,00:27:46:14,00:00:02:09,02:38:39:08,02:38:44:01,,
550,AX,B002C0061_700101_000L69.MOV,B002C0061_700101_000L69.MOV,V1,00:27:46:14,00:27:49:23,00:00:03:09,02:41:12:02,02:41:18:20,,
551,AX,B002C0061_700101_000L69.MOV,B002C0061_700101_000L69.MOV,V1,00:27:49:23,00:27:51:07,00:00:01:09,02:42:39:05,02:42:41:23,,
552,AX,B002C0060_700101_000L69.MOV,B002C0060_700101_000L69.MOV,V1,00:27:51:07,00:27:54:13,00:00:03:06,02:38:59:18,02:39:02:24,,
553,AX,B002C0061_700101_000L69.MOV,B002C0061_700101_000L69.MOV,V1,00:27:54:13,00:27:59:11,00:00:04:23,02:42:54:11,02:43:04:07,,
554,AX,B002C0063_700101_000L69.MOV,B002C0063_700101_000L69.MOV,V1,00:27:59:11,00:28:01:22,00:00:02:11,02:45:06:02,02:45:08:13,,
555,AX,B002C0064_700101_000L69.MOV,B002C0064_700101_000L69.MOV,V1,00:28:01:22,00:28:05:17,00:00:03:20,02:46:00:07,02:46:07:22,,
556,AX,Roxane van Iperen Europa moet van het Big Tech-infuus af   Europa Draait Door #3   NPO Radio 1.mp4,Roxane van Iperen Europa moet van het Big Tech-infuus af   Europa Draait Door #3   NPO Radio 1.mp4,V1,00:28:05:17,00:28:10:13,00:00:04:21,00:00:14:23,00:00:19:19,,
557,AX,what if tim.mov,what if tim.mov,V1,00:28:10:13,00:28:12:11,00:00:01:23,15:20:00:09,15:20:02:07,,
558,AX,what if aj.mov,what if aj.mov,V1,00:28:12:11,00:28:13:24,00:00:01:13,15:19:59:24,15:20:01:12,,
559,AX,what if tim.mov,what if tim.mov,V1,00:28:13:24,00:28:16:22,00:00:02:23,15:20:03:20,15:20:06:18,,
560,AX,what if aj.mov,what if aj.mov,V1,00:28:16:22,00:28:24:02,00:00:07:05,15:20:15:13,15:20:22:18,,
561,AX,what if tim.mov,what if tim.mov,V1,00:28:24:02,00:28:26:09,00:00:02:07,15:20:23:03,15:20:25:10,,
562,AX,what if aj.mov,what if aj.mov,V1,00:28:26:09,00:28:38:03,00:00:11:19,15:20:25:00,15:20:36:20,,
